,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
30,3FBiFFEq2JCAVPFAbFeBMz,Catflap,Girl,Sobs,False,42,0.657,0.732,4,-5.961,1,0.0402,0.144,0.00112,0.241,0.844,125.99,audio_features,spotify:track:3FBiFFEq2JCAVPFAbFeBMz,https://api.spotify.com/v1/tracks/3FBiFFEq2JCAVPFAbFeBMz,https://api.spotify.com/v1/audio-analysis/3FBiFFEq2JCAVPFAbFeBMz,145238,5
31,5JSVa5i6lFPoyOzK4gj0Ox,No Shame,No Shame,5 Seconds of Summer,False,0,0.576,0.815,7,-3.125,1,0.0361,0.0186,2.07e-06,0.158,0.445,90.972,audio_features,spotify:track:5JSVa5i6lFPoyOzK4gj0Ox,https://api.spotify.com/v1/tracks/5JSVa5i6lFPoyOzK4gj0Ox,https://api.spotify.com/v1/audio-analysis/5JSVa5i6lFPoyOzK4gj0Ox,190894,4
32,0sf12qNH5qcw8qpgymFOqD,Blinding Lights,Blinding Lights,The Weeknd,False,30,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,audio_features,spotify:track:0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/tracks/0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD,201573,4
33,6rcn967QN5JtkPOBDwYIuT,We Boom - The 3rd Mini Album,BOOM,NCT DREAM,False,70,0.914,0.516,5,-4.178,0,0.0918,0.131,0.0,0.0441,0.702,119.969,audio_features,spotify:track:6rcn967QN5JtkPOBDwYIuT,https://api.spotify.com/v1/tracks/6rcn967QN5JtkPOBDwYIuT,https://api.spotify.com/v1/audio-analysis/6rcn967QN5JtkPOBDwYIuT,195080,4
34,7fK0csBoqbcgUuWGV0cpoD,OBSESSION - The 6th Album,Obsession,EXO,False,69,0.704,0.729,7,-3.851,1,0.0624,0.0024,0.0,0.218,0.71,129.992,audio_features,spotify:track:7fK0csBoqbcgUuWGV0cpoD,https://api.spotify.com/v1/tracks/7fK0csBoqbcgUuWGV0cpoD,https://api.spotify.com/v1/audio-analysis/7fK0csBoqbcgUuWGV0cpoD,203520,4
35,1RKZvaLj3UPhGjZkaIrFm7,Que Calor (feat. J Balvin & El Alfa),Que Calor (feat. J Balvin & El Alfa),"Major Lazer, J Balvin, El Alfa, Diplo",False,68,0.795,0.885,8,-4.13,1,0.0713,0.0375,0.00638,0.292,0.46,126.037,audio_features,spotify:track:1RKZvaLj3UPhGjZkaIrFm7,https://api.spotify.com/v1/tracks/1RKZvaLj3UPhGjZkaIrFm7,https://api.spotify.com/v1/audio-analysis/1RKZvaLj3UPhGjZkaIrFm7,169998,4
36,10hMM5nsZQf66ldBlgWBfG,All For Us (from the HBO Original Series Euphoria),All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",False,74,0.348,0.652,3,-7.145,1,0.0931,0.0165,0.000264,0.33,0.172,70.956,audio_features,spotify:track:10hMM5nsZQf66ldBlgWBfG,https://api.spotify.com/v1/tracks/10hMM5nsZQf66ldBlgWBfG,https://api.spotify.com/v1/audio-analysis/10hMM5nsZQf66ldBlgWBfG,192987,4
37,24KD18eYQQQWaSW9Von1vA,Free Time,Real Thing,Ruel,False,56,0.671,0.583,4,-6.551,0,0.0737,0.154,0.0,0.24,0.43,125.916,audio_features,spotify:track:24KD18eYQQQWaSW9Von1vA,https://api.spotify.com/v1/tracks/24KD18eYQQQWaSW9Von1vA,https://api.spotify.com/v1/audio-analysis/24KD18eYQQQWaSW9Von1vA,192413,4
38,3lUTXq1JLSDQX4qBRHMBdU,SUNRISE,어떻게 말해 How Can I Say,DAY6,False,53,0.393,0.945,11,-0.995,0,0.0866,0.00573,0.0,0.0987,0.506,185.971,audio_features,spotify:track:3lUTXq1JLSDQX4qBRHMBdU,https://api.spotify.com/v1/tracks/3lUTXq1JLSDQX4qBRHMBdU,https://api.spotify.com/v1/audio-analysis/3lUTXq1JLSDQX4qBRHMBdU,201848,4
39,5VkKghJxtZV1PHBSvmb2kw,Amsterdamned,Amsterdamned,Yellow Claw,False,41,0.678,0.663,11,-5.807,0,0.0374,0.135,0.02,0.107,0.747,150.014,audio_features,spotify:track:5VkKghJxtZV1PHBSvmb2kw,https://api.spotify.com/v1/tracks/5VkKghJxtZV1PHBSvmb2kw,https://api.spotify.com/v1/audio-analysis/5VkKghJxtZV1PHBSvmb2kw,182320,4
